City,diesel,petrol
Adilabad,99.84,111.83
Agar Malwa,94.89,109.7
Agra,89.8,96.63
Ahmadnagar,93.03,106.53
Ahmedabad,92.17,96.42
Aizawl,82.18,95.73
Ajmer,93.44,108.17
Akola,92.69,106.14
Alappuzha,97.45,108.58
Aligarh,89.94,96.79
Alipurduar,93.9,107.26
Alirajpur,95.67,110.57
Allahabad,90.46,97.27
Almora,90.59,95.66
Alwar,94.41,109.26
Ambala,90.29,97.45
Ambedkarnagar,90.69,97.53
Amethi Csm Nagar,90.13,96.95
Amravati,93.74,107.23
Amreli,93.72,97.95
Amritsar,87.9,97.55
Amroha,90.13,96.96
Anand,92.34,96.59
Anantapur,99.42,111.66
Anantnag,85.97,100.8
Angul,96.37,104.86
Anupur,96.16,111.1
Araria,95.88,109.23
Aravalli,92.91,97.16
Ariyalur,95.08,103.45
Arwal,94.57,107.81
Ashoknagar,93.94,108.71
Auraiya,90.13,96.96
Aurangabad,95.07,108.35
Azamgarh,90.86,97.7
Badgam,86.97,101.98
Badwani,95.22,110.06
Bagalkot,88.46,102.55
Bageshwar,91.03,95.98
Baghpat,89.57,96.39
Bahraich,90.3,97.11
Baksa,89.09,97.57
Balaghat,96.25,111.19
Baleshwar,94.81,103.23
Ballia,91.74,98.6
Balod,96.55,103.58
Balodabazar,95.98,103.01
Balrampur,97.62,104.66
Banas Kantha,92.38,96.62
Banda,90.63,97.48
Bandipora,87.36,102.4
Bangalore,87.89,101.94
Bangalore Rural,88.03,102.09
Banka,94.73,108.0
Bankura,93.01,106.28
Banswara,95.17,110.08
Barabanki,90.0,96.81
Baramullah,87.13,102.16
Baran,93.92,108.71
Bareilly,89.45,96.26
Bargarh,96.04,104.5
Barmer,95.34,110.26
Barnala,87.44,97.08
Barpeta,89.05,97.53
Bastar,98.23,105.29
Basti,90.13,96.93
Bathinda,87.39,97.03
Begusarai,93.74,106.95
Belgaum,88.55,102.64
Bellary,89.53,103.73
Bemetara,95.88,102.91
Betul,94.83,109.66
Bhadradri Kothagudem,98.86,110.78
Bhadrak,95.29,103.73
Bhagalpur,94.8,108.08
Bhandara,93.22,106.69
Bharatpur,93.88,108.68
Bharuch,92.74,96.99
Bhavnagar,93.74,97.99
Bhilwara,93.89,108.66
Bhind,94.34,109.12
Bhiwani,90.36,97.5
Bhojpur,94.65,107.89
Bhopal,93.9,108.65
Bid,93.94,107.46
Bidar,88.23,102.28
Bijapur,99.77,106.85
Bijnor,89.69,96.5
Bikaner,96.08,111.08
Bilaspur,95.66,102.67
Birbhum,93.58,106.91
Bishnupur,87.17,101.23
Biswanath,89.41,97.87
Bokaro,95.0,100.21
Bolangir,97.17,105.67
Bongaigaon,88.55,97.01
Botad,93.39,97.64
Boudh,96.67,105.18
Budaun,89.67,96.48
Bulandshahr,90.34,97.2
Buldhana,94.55,108.11
Bundi,93.24,107.96
Burhanpur,95.55,110.42
Buxar,95.46,108.76
Cachar,89.13,97.57
Central Delhi,89.62,96.72
Chamba,86.28,97.17
Chamoli,93.06,98.29
Champawat,90.37,95.25
Champhai,83.77,97.59
Chamrajnagar,88.0,102.06
Chandauli,89.82,96.63
Chandel,87.55,101.65
Chandigarh,84.26,96.2
Chandrapur,92.94,106.39
Changlang,84.66,95.39
Charaideo,89.26,97.74
Charki Dadri,89.85,96.98
Chatra,96.26,101.46
Chennai,94.24,102.63
Chhatarpur,95.19,110.06
Chhindware,94.99,109.81
Chhotaudepur,92.15,96.41
Chikkaballapura,87.67,101.69
Chikmagalur,88.19,102.36
Chirang,88.51,96.98
Chitradurga,89.32,103.63
Chitrakut,90.72,97.54
Chittaurgarh,93.68,108.43
Chittoor,100.3,112.66
Churachandpur,87.51,101.61
Churu,95.03,109.93
Coimbatore,94.78,103.17
Cooch Bihar,94.03,107.39
Cuddalore,96.56,105.01
Cuddapah,98.51,110.7
Cuttack,95.1,103.54
Dahod,92.71,96.96
Dakshin Dinajpur,93.07,106.36
Dakshin Kannad,87.31,101.34
Daman,89.86,94.31
Damoh,94.79,109.62
Dantewada,99.31,106.39
Darbhanga,94.65,107.91
Darjeeling,94.27,108.02
Darrang,88.92,97.4
Datia,94.56,109.36
Dausa,94.28,109.12
Davangere,89.33,103.63
Dehradun,90.35,95.31
Delhi Shahdara,89.62,96.72
Deogarh,94.35,99.57
Deoria,89.81,96.63
Devbhumi Dwarka,92.52,96.77
Dewas,93.84,108.56
Dhalai,87.66,98.66
Dhamtari,95.66,102.68
Dhanbad,94.6,99.8
Dhar,94.79,109.61
Dharmapuri,95.5,103.9
Dharwad,87.7,101.7
Dhaulpur,94.02,108.83
Dhemaji,89.62,98.11
Dhenkanal,95.52,103.98
Dhuburi,89.88,98.38
Dhule,92.54,106.01
Dibang Valley,84.57,95.3
Dibrugarh,88.91,97.38
Dima Hasao,90.37,98.83
Dimapur,86.65,98.28
Dindigul,95.31,103.7
Dindori,95.36,110.22
Diu,90.81,95.26
Doda,85.85,100.66
Dumka,95.31,100.53
Dungarpur,95.09,109.99
Durg,95.61,102.63
